nombre,url,modelo,categoria,precio,descripcion,opiniones,imagen
Cadenote Inox 6x60 mm.,https://www.accesorionautico.com/cancamos-cadenotes-cadenote-inox-c-28_396_399.html,[20233121],[Cadenote Inox],"1,95€","Cadenote en acero inoxidable con ojillo, arandela y tuerca hexagonal.,D1: 6 mm. A: 60 mm. B 54 mm D: 16 mm.,D1_ Ø eje,D   Ø interior ojo,C grosor anilla,B lomgitud rosca",9/10  (10 votos),https://www.accesorionautico.com/images/products/cancamo-6x40-milimetros-20233120.jpg
Asiento 400x510x380mm Semipiel Blanco,https://www.accesorionautico.com/asiento-400x510x380mm-semipiel-blanco-p-4870.html,[90848370],[Asientos Piloto],"49,95€","Asiento en semipiel blanca y herrajes en aluminio.,Medidas: Ancho 400 x Altura 510 x Fondo 380 mm,Respaldo abatible,Color Blanco,Accesorio Opcional : Apoyabrazos REF: 90875059,va bien con el pie 90700112 , 90700200 , 90700202 , y todos los de marca garelick.",7/10  (6 votos),https://www.accesorionautico.com/images/products/90848370.jpg
Cabrestante Manual Imnasa 450 kg,https://www.accesorionautico.com/cabrestantes-manuales-cabrestantes-manuales-imnasa-c-16_74_615.html,[90800324],[Cabrestantes Manuales Imnasa],"29,95€","Cabrestante manual de hasta 450 kg. Reduccion 4,1:1",8/10  (4 votos),https://www.accesorionautico.com/images/products/cabestrante-winch-manual-remolque-540-kg-1-338704.jpg
"Toldo Bimini 130 cm 2 arcos, 25mm",https://www.accesorionautico.com/toldo-bimini-arcos-25mm-p-8060.html,[90210350],[Toldos Bimini Imnasa Basic],"109,00€","Toldo parasol.,Fabricado en material sintetico blanco de alta tenacidad. Con 2 arcos (difiere de la imagen que tiene 3 arcos).  ,ancho : 130 cm,largo : 180 cm,alto : 110 cm,Ø tubo_: 25 mm,Adecuado para embarcaciones no neumáticas con el pasador 90866110 ó el 90866111, , ",0/10  (0 votos),https://www.accesorionautico.com/images/products/toldo bimini Ocean.jpg
Tubo Cola Neopreno 30 ml,https://www.accesorionautico.com/tubo-cola-neopreno-p-11574.html,[03800037],[Kit Reparaciones y Pegamentos],"1,95€",Tubo Cola Neopreno 30 ml,0/10  (0 votos),https://www.accesorionautico.com/images/products/03800030.jpg
Turbina recambio para bomba bronce,https://www.accesorionautico.com/accesorios-bombas-turbinas-c-24_131_1203.html,[35250126],[Turbinas],"8,95€","Turbina recambio para bomba bronce 35250087 y 35250088, ,solo turbina",0/10  (0 votos),https://www.accesorionautico.com/images/products/35250123.jpg
Cabrestante Manual Imnasa 350 kg,https://www.accesorionautico.com/cabrestantes-manuales-cabrestantes-manuales-imnasa-c-16_74_615.html,[90800339],[Cabrestantes Manuales Imnasa],"23,95€","Cabrestante manual de hasta 350 kg. Reduccion 3,2:1",8/10  (10 votos),https://www.accesorionautico.com/images/products/cabestrante-winc8703.jpg
Cadenote Inox 6x40 mm.,https://www.accesorionautico.com/cancamos-cadenotes-cadenote-inox-c-28_396_399.html,[20233120],[Cadenote Inox],"1,95€","Cadenote en acero inoxidable con ojillo, arandela y tuerca hexagonal.,D1: 6 mm. A: 45 mm. B 40 mm D: 12 mm.,D1_ Ø eje,D   Ø interior ojo,C grosor anilla,B lomgitud rosca",9/10  (5 votos),https://www.accesorionautico.com/images/products/cancamo-6x40-milimetros-20233120.jpg
Turbina 15X55X31 Con Junta Neopreno,https://www.accesorionautico.com/accesorios-bombas-turbinas-c-24_131_1203.html,[98000511],[Turbinas],"23,95€",,0/10  (0 votos),https://www.accesorionautico.com/images/products/98000511.jpg
Base Con Enchufe Macho + Hembra,https://www.accesorionautico.com/base-enchufe-macho-hembra-p-3209.html,[44250181],[Conectores y Enchufes],"4,50€"," ,Base con enchufe, Conector macho y hembra.",10/10  (1 voto),https://www.accesorionautico.com/images/products/toma_encendedor_macho.jpg
Aceite Direccion Hidraulica 2L,https://www.accesorionautico.com/aceite-direccion-hidraulica-p-2903.html,[15400305],[Direcciones Hidraulicas],"19,99€",Aceite Direccion hidraulica 2 litros.,9/10  (4 votos),https://www.accesorionautico.com/images/products/15400305.jpg
Lubricante Colas BelRay Premium 946ml,https://www.accesorionautico.com/lubricante-colas-belray-premium-946ml-p-8916.html,[24982401-O],[Lubricantes- Aceites Cola - Grasas - Anticorrosion],"14,95€",Aceite para engranajes 1 litro,0/10  (0 votos),https://www.accesorionautico.com/images/products/semi_.jpg
"Toldo Bimini 200 cm 3 arcos, 25mm",https://www.accesorionautico.com/toldo-bimini-arcos-25mm-p-8063.html,[90210353],[Toldos Bimini Imnasa Basic],"125,00€","Toldo parasol.,Fabricado en material sintetico blanco de alta tenacidad. Con 3 arcos.  ,ancho : 200 cm,largo : 180 cm,alto : 110 cm,Ø tubo_: 25 mm,Adecuado para embarcaciones no neumáticas con el pasador 90866110 ó el 90866111, ",6/10  (1 voto),https://www.accesorionautico.com/images/products/407332_BiminiAluminio1_Plastimo.JPG
Luz Flotante Automatica SOLAS para Chaleco Imnasa,https://www.accesorionautico.com/flotante-automatica-solas-para-chaleco-imnasa-p-12302.html,[90250625],"[Luces Flotantes , Soportes Luz Flotante , Rabizas]","9,75€","Luz Flotante , SOLAS , para Chaleco salvavidas , Imnasa,Luz flotante de emergencia según norma SOLAS83 Res A/687. Aprobado por la marina mercante. Se utiliza para equipar los chalecos salvavidas. se enviende en modo automatico .",0/10  (0 votos),https://www.accesorionautico.com/images/products/luz-chaleco-led-solas-90250625.jpg
Boca de Llenado Laton Cromado Agua Ø 38 mm,https://www.accesorionautico.com/bocas-llenado-boca-llenado-laton-cromado-c-19_102_262.html,[41250143],[Boca de Llenado Laton Cromado],"32,95€","Boca de carga para agua en laton cromado.,Con los tornillos ocultos.,No requiere llave ni herramienta para la apertura. ",10/10  (7 votos),https://www.accesorionautico.com/images/products/LATON.jpg
Prismaticos-Binouclares Marinos 7x50 Autofocus Gs Marine Imnasa,https://www.accesorionautico.com/prismaticosbinouclares-marinos-7x50-autofocus-marine-imnasa-p-12456.html,[90251028],[Prismaticos Marinos para Barcos - Nautica],"32,95€","Prismáticos marinos con enfoque autofocus (automático). Revestimiento antichoque y antideslizante. Estancos a las salpicaduras. Óptica de alta luminosidad.,Características técnicas:,Aumento y diámetro del objetivo: 7 x 50,Campo de visión: 119 m,Prisma: BAK-7,Tratamiento: Fully,Color: negro,Estuche: Flexible",0/10  (0 votos),https://www.accesorionautico.com/images/products/prismatico-autofocus-7x50-j6f-90251028.jpg
